Release Date,Time,Actual,Forecast,Previous
"Jun 17, 2021 (Jun)",7:00,19.00%,19.00%,19.00%
"May 06, 2021 (May)",7:00,19.00%,19.00%,19.00%
"Apr 15, 2021 (Apr)",7:00,19.00%,19.00%,19.00%
"Mar 18, 2021 (Mar)",7:00,19.00%,18.00%,17.00%
"Feb 18, 2021 (Feb)",7:00,17.00%,17.00%,17.00%
"Jan 21, 2021 (Jan)",7:00,17.00%,17.00%,17.00%
"Dec 24, 2020 (Dec)",7:00,17.00%,16.50%,15.00%
"Nov 19, 2020 (Nov)",7:00,15.00%,15.00%,10.25%
"Oct 22, 2020 (Oct)",7:00,10.25%,12.00%,10.25%
"Sep 24, 2020 (Sep)",7:00,10.25%,8.25%,8.25%
"Aug 20, 2020 (Aug)",7:00,8.25%,8.25%,8.25%
"Jul 23, 2020 (Jul)",7:00,8.25%,8.25%,8.25%
"Jun 25, 2020 (Jun)",7:00,8.25%,8.00%,8.25%
"May 21, 2020 (May)",7:00,8.25%,8.25%,8.75%
"Apr 22, 2020 (Apr)",7:00,8.75%,9.25%,9.75%
"Mar 17, 2020 (Mar)",7:00,9.75%, ,10.75%
"Feb 19, 2020 (Feb)",7:00,10.75%,10.75%,11.25%
"Jan 16, 2020 (Jan)",7:00,11.25%,11.50%,12.00%
"Dec 12, 2019 (Dec)",7:00,12.00%,12.50%,14.00%
"Oct 24, 2019 (Oct)",7:00,14.00%,15.50%,16.50%
"Sep 12, 2019 (Sep)",7:00,16.50%,17.25%,19.75%
"Jul 25, 2019 (Jul)",7:00,19.75%,21.50%,24.00%
"Jun 12, 2019 (Jun)",7:00,24.00%,24.00%,24.00%
"Apr 25, 2019 (Apr)",7:00,24.00%,24.00%,24.00%
"Mar 06, 2019 (Mar)",7:00,24.00%,24.00%,24.00%
"Jan 16, 2019 (Jan)",7:00,24.00%,24.00%,24.00%
"Dec 13, 2018 (Dec)",7:00,24.00%,24.00%,24.00%
"Oct 25, 2018 (Oct)",7:00,24.00%,24.00%,24.00%
"Sep 13, 2018 (Sep)",7:00,24.00%,22.00%,17.75%
"Jul 24, 2018 (Jul)",7:00,17.75%,18.75%,17.75%
"Jun 07, 2018",7:00,17.75%,16.75%,16.50%
"Apr 25, 2018 (Apr)",7:00,8.00%,8.00%,8.00%
"Mar 07, 2018 (Mar)",7:00,8.00%,8.00%,8.00%
"Jan 18, 2018 (Jan)",7:00,8.00%,8.00%,8.00%
"Dec 14, 2017 (Dec)",7:00,8.00%,8.00%,8.00%
"Oct 26, 2017 (Oct)",7:00,8.00%,8.00%,8.00%
"Sep 14, 2017 (Sep)",7:00,8.00%,8.00%,8.00%
"Jul 27, 2017 (Jul)",7:00,8.00%,8.00%,8.00%
"Jun 15, 2017 (Jun)",7:00,8.00%,8.00%,8.00%
"Apr 26, 2017 (Apr)",7:00,8.00%,8.00%,8.00%
"Mar 16, 2017 (Mar)",7:00,8.00%,8.00%,8.00%
"Jan 24, 2017 (Jan)",7:00,8.00%,8.50%,8.00%
"Dec 20, 2016 (Dec)",7:00,8.00%,8.25%,8.00%
"Nov 24, 2016 (Nov)",7:00,8.00%,7.75%,7.50%
"Oct 20, 2016 (Oct)",7:00,7.50%,7.50%,7.50%
"Sep 22, 2016 (Sep)",7:00,7.50%,7.50%,7.50%
"Aug 23, 2016 (Aug)",7:00,7.50%,7.50%,7.50%
"Jul 19, 2016 (Jul)",7:00,7.50%,7.50%,7.50%
"Jun 21, 2016 (Jun)",7:00,7.50%,7.50%,7.50%
