Release Date,Time,Actual,Forecast,Previous
"Oct 01, 2011 (Sep)",4:00,5.75%, ,5.75%
"Sep 01, 2011 (Aug)",4:00,5.75%, ,6.25%
"Aug 01, 2011 (Jul)",4:00,6.25%, ,6.25%
"Jul 01, 2011 (Jun)",4:00,6.25%, ,6.25%
"Jun 01, 2011 (May)",4:00,6.25%, ,6.25%
"May 01, 2011 (Apr)",4:00,6.25%, ,6.25%
"Apr 01, 2011 (Mar)",4:00,6.25%, ,6.25%
"Mar 01, 2011 (Feb)",4:00,6.25%, ,6.25%
"Feb 01, 2011 (Jan)",4:00,6.25%, ,6.50%
"Jan 01, 2011 (Dec)",4:00,6.50%, ,7.00%
"Dec 01, 2010 (Nov)",4:00,7.00%, ,7.00%
"Nov 01, 2010 (Oct)",4:00,7.00%, ,7.00%
"Oct 01, 2010 (Sep)",4:00,7.00%, ,7.00%
"Sep 01, 2010 (Aug)",4:00,7.00%, ,7.00%
"Aug 01, 2010 (Jul)",4:00,7.00%, ,7.00%
"Jul 01, 2010 (Jun)",4:00,7.00%, ,7.00%
"Jun 01, 2010 (May)",4:00,7.00%, ,
