country,time,household
JPN,2000,487.0354
JPN,2001,506.3971
JPN,2002,513.9771
JPN,2003,530.0106
JPN,2004,530.1713
JPN,2005,553.5524
JPN,2006,555.7217
JPN,2007,525.4068
JPN,2008,516.4243
JPN,2009,536.8674
JPN,2010,544.3998
JPN,2011,552.8927
JPN,2012,571.3052
JPN,2013,584.5475
JPN,2014,611.3855
JPN,2015,601.4117
JPN,2016,605.3891
JPN,2017,618.7688
JPN,2018,609.315
JPN,2019,590.6879
JPN,2020,604.4218
CAN,1995,403.2157
CAN,1996,441.7483
CAN,1997,460.6838
CAN,1998,455.6929
CAN,1999,465.0057
CAN,2000,450.8549
CAN,2001,423.9754
CAN,2002,406.5122
CAN,2003,428.4201
CAN,2004,436.2513
CAN,2005,471.678
CAN,2006,487.1951
CAN,2007,486.0361
CAN,2008,437.7754
CAN,2009,469.123
CAN,2010,489.3914
CAN,2011,485.2619
CAN,2012,502.7983
CAN,2013,520.9045
CAN,2014,554.5223
CAN,2015,559.8677
CAN,2016,594.3207
CAN,2017,599.0847
CAN,2018,591.99
CAN,2019,618.9718
CAN,2020,615.8786
CAN,2021,675.05
LUX,1995,355.0448
LUX,1996,369.074
LUX,1997,366.3541
LUX,1998,359.8216
LUX,1999,341.0673
LUX,2000,333.5574
LUX,2001,332.7168
LUX,2002,316.7924
LUX,2003,334.755
LUX,2004,353.2856
LUX,2005,360.5868
LUX,2006,367.9524
LUX,2007,384.8893
LUX,2008,386.4625
LUX,2009,412.7839
LUX,2010,415.9634
LUX,2011,391.0426
LUX,2012,384.3902
LUX,2013,389.7844
LUX,2014,410.2944
LUX,2015,431.7891
LUX,2016,438.144
LUX,2017,418.4611
LUX,2018,412.5012
LUX,2019,428.5869
LUX,2020,419.4466
FRA,1995,373.2271
FRA,1996,407.1557
FRA,1997,418.739
FRA,1998,424.8421
FRA,1999,450.5993
FRA,2000,440.5521
FRA,2001,416.3298
FRA,2002,405.7952
FRA,2003,422.554
FRA,2004,430.9861
FRA,2005,448.1996
FRA,2006,468.4527
FRA,2007,470.6888
FRA,2008,440.7148
FRA,2009,460.4913
FRA,2010,471.1666
FRA,2011,473.5896
FRA,2012,491.871
FRA,2013,510.5922
FRA,2014,519.5696
FRA,2015,533.0162
FRA,2016,547.6226
FRA,2017,553.7282
FRA,2018,534.0839
FRA,2019,544.9996
FRA,2020,546.7587
FRA,2021,578.7361
FIN,1995,258.7082
FIN,1996,274.1167
FIN,1997,286.2455
FIN,1998,311.3861
FIN,1999,342.8164
FIN,2000,357.9898
FIN,2001,346.7619
FIN,2002,320.4187
FIN,2003,324.1124
FIN,2004,323.4506
FIN,2005,345.5161
FIN,2006,354.5915
FIN,2007,351.0046
FIN,2008,316.0181
FIN,2009,325.313
FIN,2010,324.8088
FIN,2011,307.8189
FIN,2012,327.4532
FIN,2013,345.8713
FIN,2014,359.2961
FIN,2015,364.4214
FIN,2016,368.4065
FIN,2017,376.0565
FIN,2018,369.6209
FIN,2019,391.961
FIN,2020,408.135
FIN,2021,430.8245
ITA,1995,392.8376
ITA,1996,400.5387
ITA,1997,435.7725
ITA,1998,475.9717
ITA,1999,495.6822
ITA,2000,506.6099
ITA,2001,483.4894
ITA,2002,482.3143
ITA,2003,480.1071
ITA,2004,491.973
ITA,2005,526.407
ITA,2006,545.3531
ITA,2007,511.3491
ITA,2008,493.96
ITA,2009,510.7272
ITA,2010,510.7876
ITA,2011,500.0776
ITA,2012,550.423
ITA,2013,562.952
ITA,2014,575.0516
ITA,2015,582.6542
ITA,2016,578.4442
ITA,2017,586.1332
ITA,2018,562.4648
ITA,2019,591.7224
ITA,2020,625.356
POL,1995,108.3218
POL,1996,106.831
POL,1997,109.5118
POL,1998,119.2721
POL,1999,123.4531
POL,2000,120.2313
POL,2001,113.0795
POL,2002,114.9406
POL,2003,147.7707
POL,2004,151.6569
