date,value,type
04/01/2012,1.7565,usdtry
03/01/2012,1.7825,usdtry
02/01/2012,1.7491,usdtry
01/01/2012,1.7773,usdtry
12/01/2011,1.885,usdtry
11/01/2011,1.8293,usdtry
10/01/2011,1.771,usdtry
09/01/2011,1.8599,usdtry
08/01/2011,1.7162,usdtry
07/01/2011,1.6887,usdtry
06/01/2011,1.6206,usdtry
05/01/2011,1.5939,usdtry
04/01/2011,1.5211,usdtry
03/01/2011,1.5454,usdtry
02/01/2011,1.5986,usdtry
01/01/2011,1.6045,usdtry
12/01/2010,1.5419,usdtry
11/01/2010,1.5049,usdtry
10/01/2010,1.433,usdtry
09/01/2010,1.4482,usdtry
08/01/2010,1.5267,usdtry
07/01/2010,1.5078,usdtry
06/01/2010,1.5869,usdtry
05/01/2010,1.5741,usdtry
04/01/2010,1.4897,usdtry
03/01/2010,1.5192,usdtry
02/01/2010,1.5467,usdtry
01/01/2010,1.497,usdtry
12/01/2009,1.5002,usdtry
11/01/2009,1.5282,usdtry
10/01/2009,1.5064,usdtry
09/01/2009,1.4839,usdtry
08/01/2009,1.5004,usdtry
07/01/2009,1.4711,usdtry
06/01/2009,1.5415,usdtry
05/01/2009,1.5356,usdtry
04/01/2009,1.5983,usdtry
03/01/2009,1.662,usdtry
02/01/2009,1.7001,usdtry
01/01/2009,1.6433,usdtry
12/01/2008,1.5405,usdtry
11/01/2008,1.5652,usdtry
10/01/2008,1.5422,usdtry
09/01/2008,1.2765,usdtry
08/01/2008,1.1845,usdtry
07/01/2008,1.1616,usdtry
06/01/2008,1.2237,usdtry
05/01/2008,1.2189,usdtry
04/01/2008,1.2747,usdtry
03/01/2008,1.3347,usdtry
02/01/2008,1.2205,usdtry
01/01/2008,1.1715,usdtry
12/01/2007,1.1677,usdtry
11/01/2007,1.1835,usdtry
10/01/2007,1.1649,usdtry
09/01/2007,1.2071,usdtry
08/01/2007,1.3003,usdtry
07/01/2007,1.2843,usdtry
06/01/2007,1.3125,usdtry
05/01/2007,1.3175,usdtry
04/01/2007,1.3645,usdtry
03/01/2007,1.392,usdtry
02/01/2007,1.413,usdtry
01/01/2007,1.4065,usdtry
12/01/2006,1.4155,usdtry
11/01/2006,1.4537,usdtry
10/01/2006,1.4572,usdtry
09/01/2006,1.5145,usdtry
08/01/2006,1.4647,usdtry
07/01/2006,1.4976,usdtry
06/01/2006,1.5825,usdtry
05/01/2006,1.5735,usdtry
04/01/2006,1.3225,usdtry
03/01/2006,1.3445,usdtry
02/01/2006,1.314,usdtry
01/01/2006,1.3228,usdtry
12/01/2005,1.3505,usdtry
11/01/2005,1.3565,usdtry
10/01/2005,1.3515,usdtry
09/01/2005,1.3465,usdtry
08/01/2005,1.345,usdtry
07/01/2005,1.3259,usdtry
06/01/2005,1.3305,usdtry
05/01/2005,1.3645,usdtry
04/01/2005,1.3915,usdtry
03/01/2005,1.3525,usdtry
02/01/2005,1.283,usdtry
01/01/2005,1.3355,usdtry
12/01/2004,1.3485,usdtry
11/01/2004,1.4315,usdtry
10/01/2004,1.4715,usdtry
09/01/2004,1.504,usdtry
08/01/2004,1.502,usdtry
07/01/2004,1.468,usdtry
06/01/2004,1.4855,usdtry
05/01/2004,1.4895,usdtry
04/01/2004,1.4206,usdtry
03/01/2004,1.3135,usdtry
02/01/2004,1.327,usdtry
01/01/2004,1.341,usdtry
12/01/2003,1.4026,usdtry
11/01/2003,1.4635,usdtry
10/01/2003,1.4844,usdtry
09/01/2003,1.3898,usdtry
08/01/2003,1.4018,usdtry
07/01/2003,1.4234,usdtry
06/01/2003,1.42,usdtry
05/01/2003,1.429,usdtry
04/01/2003,1.5657,usdtry
03/01/2003,1.7155,usdtry
02/01/2003,1.597,usdtry
01/01/2003,1.65,usdtry
12/01/2002,1.66,usdtry
11/01/2002,1.5385,usdtry
10/01/2002,1.677,usdtry
09/01/2002,1.655,usdtry
08/01/2002,1.63,usdtry
07/01/2002,1.69,usdtry
06/01/2002,1.5825,usdtry
05/01/2002,1.4395,usdtry
04/01/2002,1.341,usdtry
03/01/2002,1.3475,usdtry
02/01/2002,1.3965,usdtry
01/01/2002,1.307,usdtry
12/01/2001,1.45,usdtry
11/01/2001,1.479,usdtry
10/01/2001,1.5975,usdtry
09/01/2001,1.54,usdtry
08/01/2001,1.37,usdtry
07/01/2001,1.33,usdtry
06/01/2001,1.265,usdtry
05/01/2001,1.17,usdtry
04/01/2001,1.1455,usdtry
03/01/2001,1.045,usdtry
02/01/2001,0.955,usdtry
01/01/2001,0.6752,usdtry
12/01/2000,0.6703,usdtry
11/01/2000,0.6827,usdtry
10/01/2000,0.6823,usdtry
09/01/2000,0.6646,usdtry
08/01/2000,0.6551,usdtry
07/01/2000,0.6352,usdtry
06/01/2000,0.6204,usdtry
05/01/2000,0.6157,usdtry
04/01/2000,0.6113,usdtry
03/01/2000,0.5891,usdtry
02/01/2000,0.5743,usdtry
01/01/2000,0.5597,usdtry
